,track_name,weeks,max_rank,min_rank,avg_rank
Disease,Disease,20,81,29,49.8
By The Way,By The Way,20,76,34,47.7
The Zephyr Song,The Zephyr Song,14,98,49,72.0
Loser,Loser,45,93,10,49.733333333333334
Jack-Ass,Jack-Ass,10,95,73,81.4
The New Pollution,The New Pollution,7,98,78,90.57142857142857
All She Wants to Do Is Dance,All She Wants to Do Is Dance,0,,,
Sunset Grill,Sunset Grill,14,92,22,43.357142857142854
The Heart Of The Matter,The Heart Of The Matter,21,100,21,50.857142857142854
The Last Worthless Evening,The Last Worthless Evening,15,95,21,45.333333333333336
Get Over It,Get Over It,14,99,31,62.42857142857143
Hotel California,Hotel California,19,83,1,23.31578947368421
Take It Easy,Take It Easy,48,100,12,59.583333333333336
Tequila Sunrise,Tequila Sunrise,8,92,64,75.375
Carolina In My Mind,Carolina In My Mind,10,122,73,93.6
Shower The People,Shower The People,16,83,22,44.125
Animal House,Animal House,5,99,73,85.0
Undone - The Sweater Song,Undone - The Sweater Song,16,98,57,79.3125
Sleepwalker,Sleepwalker,13,96,48,70.84615384615384
Given To Fly,Given To Fly,16,96,21,57.3125
Only Happy When It Rains,Only Happy When It Rains,20,92,55,70.9
You've Got A Friend,You've Got A Friend,26,90,1,28.0
Porpoise Song,Porpoise Song,6,89,62,66.5
Department Of Youth,Department Of Youth,4,90,67,76.0
Only Women,Only Women,0,,,
There s Your Trouble,There s Your Trouble,0,,,
Wide Open Spaces,Wide Open Spaces,20,96,41,80.95
You Were Mine,You Were Mine,38,101,21,53.81578947368421
Love Is Gonna Come At Last,Love Is Gonna Come At Last,3,89,69,78.0
Austin,Austin,20,98,18,46.9
I Turn To You,I Turn To You,22,50,3,24.136363636363637
Strange Magic,Strange Magic,14,71,14,32.0
Sweet Talkin' Woman,Sweet Talkin' Woman,16,91,17,35.5
Valley Girl,Valley Girl,12,93,32,53.0
The Message,The Message,32,104,48,80.40625
Feelin  So Good,Feelin  So Good,0,,,
Can't Stop,Can't Stop,73,98,6,50.657534246575345
Then The Morning Comes,Then The Morning Comes,26,83,11,28.76923076923077
Vow,Vow,2,97,97,97.0
Wishlist,Wishlist,20,97,47,73.75
All That I Can Say,All That I Can Say,14,95,44,60.5
Deep Inside,Deep Inside,16,129,63,77.4375
Jive Talkin',Jive Talkin',17,87,1,26.352941176470587
This Is The World Calling,This Is The World Calling,6,97,82,87.33333333333333
Electric Avenue,Electric Avenue,22,94,2,30.40909090909091
I Don't Wanna Dance,I Don't Wanna Dance,7,90,53,66.42857142857143
Baker Street,Baker Street,20,87,2,27.3
Yah Mo B There,Yah Mo B There,18,94,19,44.166666666666664
Crazy For You,Crazy For You,22,119,1,32.77272727272727
I Keep Forgettin',I Keep Forgettin',27,107,4,42.55555555555556
No Lookin  Back,No Lookin  Back,0,,,
Sweet Freedom,Sweet Freedom,20,98,7,36.0
Take It To Heart,Take It To Heart,2,99,98,98.5
Heard It All Before,Heard It All Before,20,69,18,35.9
It Keeps You Runnin',It Keeps You Runnin',14,87,37,56.57142857142857
Mary Jane's Last Dance,Mary Jane's Last Dance,20,86,14,40.85
Epic,Epic,21,91,9,38.476190476190474
Sultans Of Swing,Sultans Of Swing,15,92,4,24.0
The Red,The Red,20,86,56,69.45
How Come You Don't Call Me,How Come You Don't Call Me,9,87,59,68.44444444444444
If I Could Turn Back Time,If I Could Turn Back Time,23,89,3,36.34782608695652
Like A Stone,Like A Stone,20,72,31,45.1
Take A Picture,Take A Picture,20,91,12,33.95
Friday I m In Love,Friday I m In Love,0,,,
Follow You Follow Me,Follow You Follow Me,0,,,
Let Her Cry,Let Her Cry,35,90,9,31.228571428571428
Running Away,Running Away,20,76,44,56.75
Falling In Love,Falling In Love,44,100,25,60.18181818181818
I Don't Want To Miss A Thing,I Don't Want To Miss A Thing,41,83,1,31.585365853658537
Pink,Pink,13,94,27,55.07692307692308
Crawling In The Dark,Crawling In The Dark,19,100,68,82.47368421052632
I'm A Slave 4 U,I'm A Slave 4 U,6,68,49,56.666666666666664
Heaven Help/Spinning Around Over You,Heaven Help/Spinning Around Over You,0,,,
Stand By My Woman,Stand By My Woman,8,99,76,87.0
The Middle,The Middle,33,71,5,24.666666666666668
Rollin',Rollin',17,100,65,78.94117647058823
Never There,Never There,17,99,78,85.0
Walk Of Life,Walk Of Life,21,97,7,32.42857142857143
Kiss From A Rose,Kiss From A Rose,36,87,1,18.666666666666668
Stay,Stay,205,128,1,37.53658536585366
Name,Name,36,48,5,18.555555555555557
Thank U,Thank U,11,99,17,49.09090909090909
Wishful Sinful,Wishful Sinful,6,79,44,53.333333333333336
Original Prankster,Original Prankster,9,92,70,79.11111111111111
Welcome To The Jungle,Welcome To The Jungle,17,97,7,32.64705882352941
Underneath It All,Underneath It All,30,64,3,21.366666666666667
I Am The Highway,I Am The Highway,17,90,66,77.11764705882354
My Own Worst Enemy,My Own Worst Enemy,20,98,51,66.0
Wild World,Wild World,54,113,11,48.907407407407405
"When You're Hot, You're Hot","When You're Hot, You're Hot",0,,,
Ugly,Ugly,20,98,15,49.45
Everyday I Write The Book,Everyday I Write The Book,14,93,36,57.5
Hold My Hand,Hold My Hand,76,95,5,36.03947368421053
Skateaway,Skateaway,11,101,58,78.0909090909091
Yesterdays,Yesterdays,10,97,72,82.7
Crazy,Crazy,221,106,2,45.73303167420814
Beat It,Beat It,50,99,1,49.7
Amazing,Amazing,46,99,24,63.630434782608695
Here's To The Night,Here's To The Night,20,79,30,48.0
Learn To Fly,Learn To Fly,21,80,19,39.666666666666664
Schism,Schism,20,83,67,74.35
Hemorrhage,Hemorrhage,22,77,30,44.68181818181818
Born In The USA,Born In The USA,0,,,
Cover Me,Cover Me,26,98,7,41.76923076923077
Dancing In The Dark,Dancing In The Dark,23,98,2,24.608695652173914
My Hometown,My Hometown,15,88,6,33.0
Badlands,Badlands,9,107,42,67.11111111111111
Brilliant Disguise,Brilliant Disguise,16,99,5,37.875
Hungry Heart,Hungry Heart,18,85,5,23.27777777777778
Secret Garden,Secret Garden,23,95,19,44.47826086956522
The Rising,The Rising,11,100,52,71.9090909090909
Touch Me,Touch Me,80,110,2,40.1875
So Far Away,So Far Away,51,123,19,51.509803921568626
Push It,Push It,57,100,19,59.6140350877193
The Unknown Soldier,The Unknown Soldier,8,79,39,51.5
Tightrope Ride,Tightrope Ride,7,100,71,79.57142857142857
Tempted,Tempted,15,105,49,75.33333333333333
Youth Of The Nation,Youth Of The Nation,19,92,28,53.10526315789474
November Rain,November Rain,20,40,3,14.7
Sheena Is A Punk Rocker,Sheena Is A Punk Rocker,13,99,81,89.46153846153847
Peaches,Peaches,14,99,29,54.285714285714285
Hate To Say I Told You So,Hate To Say I Told You So,11,96,86,90.36363636363636
Jaded,Jaded,20,58,7,24.2
Breakfast At Tiffany's,Breakfast At Tiffany's,36,90,5,30.0
Hazard,Hazard,20,78,9,28.35
All I Wanna Do,All I Wanna Do,33,84,2,21.78787878787879
Pinch Me,Pinch Me,22,99,15,36.90909090909091
Just A Girl,Just A Girl,29,84,23,48.86206896551724
Hello I Love You,Hello I Love You,0,,,
I m Goin  Down,I m Goin  Down,0,,,
Always,Always,131,110,1,43.534351145038165
Silent All These Years,Silent All These Years,20,99,65,73.95
Around The World,Around The World,100,109,25,63.4
Never Let You Go,Never Let You Go,48,98,14,45.6875
Bother,Bother,20,98,56,73.85
I Need A Man,I Need A Man,6,98,83,88.0
Heartspark Dollarsign,Heartspark Dollarsign,6,94,85,90.0
Love Her Madly,Love Her Madly,12,103,11,32.416666666666664
Last Kiss,Last Kiss,62,126,2,43.83870967741935
No Such Thing,No Such Thing,24,65,13,30.291666666666668
Runnin' With The Devil,Runnin' With The Devil,4,98,84,90.75
Hella Good,Hella Good,20,63,13,28.75
Prayer,Prayer,20,87,58,71.85
Downfall,Downfall,4,95,91,92.25
Dance The Night Away,Dance The Night Away,15,87,15,39.06666666666667
Spin,Spin,14,94,71,82.0
Falling To Pieces,Falling To Pieces,3,100,92,95.0
Cruel Summer,Cruel Summer,38,100,9,35.5
Heart And Soul,Heart And Soul,68,135,4,48.55882352941177
Electric Barbarella,Electric Barbarella,9,100,52,67.88888888888889
All I Want Is You,All I Want Is You,27,96,54,74.85185185185185
I Am A Rock,I Am A Rock,12,113,3,24.666666666666668
God,God,23,105,18,68.78260869565217
Made You Look,Made You Look,13,93,32,56.0
Inside Out,Inside Out,21,109,28,58.285714285714285
Time,Time,89,132,2,45.235955056179776
Come Into My World,Come Into My World,8,98,91,93.0
Selling The Drama,Selling The Drama,19,100,43,67.52631578947368
What It Takes,What It Takes,17,98,9,36.05882352941177
South Side,South Side,32,94,14,35.15625
Only The Good Die Young,Only The Good Die Young,14,74,24,48.07142857142857
Think,Think,81,127,7,67.29629629629629
Strawberry Letter 23,Strawberry Letter 23,28,96,5,43.892857142857146
Mint Car,Mint Car,5,92,58,71.4
Starry Eyed Surprise,Starry Eyed Surprise,8,97,41,62.625
Send The Pain Below,Send The Pain Below,20,91,65,76.15
Spanish Harlem,Spanish Harlem,36,118,2,43.44444444444444
Willing To Forgive,Willing To Forgive,20,88,26,52.65
Help Me Make It Through The Night,Help Me Make It Through The Night,32,98,8,48.9375
"Hold Me, Thrill Me, Kiss Me, Kill Me","Hold Me, Thrill Me, Kiss Me, Kill Me",0,,,
Butterfly,Butterfly,75,99,1,36.306666666666665
Rhythm Of Love,Rhythm Of Love,58,99,38,68.63793103448276
Can't Stop Loving You,Can't Stop Loving You,28,97,25,68.78571428571429
Higher Love,Higher Love,22,99,1,33.95454545454545
Shock The Monkey,Shock The Monkey,18,85,29,46.55555555555556
When You Lie Next To Me,When You Lie Next To Me,18,100,54,77.38888888888889
In These Arms,In These Arms,16,91,27,51.0625
Goodbye,Goodbye,92,115,9,59.55434782608695
Laid,Laid,13,87,61,72.92307692307692
Original Sin,Original Sin,3,92,58,72.33333333333333
Listen Like Thieves,Listen Like Thieves,9,92,54,67.11111111111111
Devil Inside,Devil Inside,17,88,2,29.058823529411764
I Love Your Smile,I Love Your Smile,26,93,2,21.76923076923077
Kiss Me,Kiss Me,35,110,2,26.114285714285714
This Must Be The Place,This Must Be The Place,8,97,62,74.75
I Want Candy,I Want Candy,21,131,11,59.904761904761905
All I Need Is A Miracle,All I Need Is A Miracle,19,89,5,34.63157894736842
Good,Good,24,121,30,53.833333333333336
Rag Doll,Rag Doll,37,90,1,40.13513513513514
Joey,Joey,29,100,19,65.6896551724138
Don t Tell Me,Don t Tell Me,0,,,
I Can't Tell You Why,I Can't Tell You Why,30,100,8,51.7
Roundabout,Roundabout,19,112,13,51.94736842105263
I Am Mine,I Am Mine,8,96,43,69.125
Anything But Down,Anything But Down,13,93,49,69.6923076923077
Goodbye Stranger,Goodbye Stranger,14,78,15,38.57142857142857
Hysteria,Hysteria,16,92,10,37.3125
I Did It,I Did It,12,121,71,82.08333333333333
Renegade,Renegade,23,73,16,38.43478260869565
High,High,17,102,42,66.52941176470588
Heartache Tonight,Heartache Tonight,15,99,1,19.333333333333332
"Caroline, No","Caroline, No",0,,,
The Ghost In You,The Ghost In You,9,96,59,73.77777777777777
Everybody [Backstreet s Back],Everybody [Backstreet s Back],0,,,
It Wasn't Me,It Wasn't Me,25,57,1,13.36
Breezin',Breezin',6,90,63,71.5
Never Enough,Never Enough,16,100,61,79.6875
I'd Lie For You,I'd Lie For You,20,100,13,43.6
Rescue Me,Rescue Me,24,90,4,34.375
Girls,Girls,54,100,12,46.592592592592595
Vogue,Vogue,24,100,1,31.833333333333332
Graduation,Graduation,12,87,38,53.583333333333336
Witchy Woman,Witchy Woman,13,78,9,29.846153846153847
Peaceful Easy Feeling,Peaceful Easy Feeling,12,73,22,43.0
Best Of My Love,Best Of My Love,43,107,1,28.13953488372093
James Dean,James Dean,5,92,77,85.2
Lyin' Eyes,Lyin' Eyes,14,79,2,25.714285714285715
Take It To The Limit,Take It To The Limit,27,109,4,45.925925925925924
Love Bites,Love Bites,23,94,1,40.82608695652174
Sweetness,Sweetness,14,99,75,81.71428571428571
Doctor My Eyes,Doctor My Eyes,12,80,8,28.416666666666668
Love Is Like Oxygen,Love Is Like Oxygen,0,,,
Come Sail Away,Come Sail Away,22,89,8,33.59090909090909
Bright Lights,Bright Lights,30,100,23,49.4
This Woman's Work,This Woman's Work,15,99,58,75.8
Weird Science,Weird Science,12,98,45,70.41666666666667
Hollywood Nights,Hollywood Nights,13,100,12,34.38461538461539
Coconut,Coconut,14,80,8,30.714285714285715
Everywhere,Everywhere,38,97,12,37.78947368421053
Dirty White Boy,Dirty White Boy,14,99,12,41.57142857142857
And The Cradle Will Rock...,And The Cradle Will Rock...,0,,,
My Heroes Have Always Been Cowboys,My Heroes Have Always Been Cowboys,10,95,44,62.5
Like Glue,Like Glue,20,89,13,39.9
Choose,Choose,20,120,23,57.7
Breakadawn,Breakadawn,5,100,76,83.2
Peace Of Mind,Peace Of Mind,29,119,38,67.10344827586206
Prayer For The Dying,Prayer For The Dying,20,83,21,34.85
Mama,Mama,72,133,8,65.19444444444444
Lifetime,Lifetime,20,72,22,45.3
Sledgehammer,Sledgehammer,36,99,1,48.361111111111114
Why Can t This Be Love,Why Can t This Be Love,0,,,
Abacab,Abacab,14,98,26,50.142857142857146
Ex-Factor,Ex-Factor,22,87,21,37.22727272727273
If My Heart Had Wings,If My Heart Had Wings,18,99,39,62.27777777777778
I'm Already There,I'm Already There,20,69,24,40.4
Can't Get You Out Of My Head,Can't Get You Out Of My Head,20,78,7,29.0
Big Yellow Taxi,Big Yellow Taxi,70,127,24,67.11428571428571
Ring Of Fire,Ring Of Fire,18,124,17,52.77777777777778
Justify My Love,Justify My Love,16,86,1,23.0
Smackwater Jack,Smackwater Jack,0,,,
Detroit Rock City,Detroit Rock City,0,,,
Like The Weather,Like The Weather,8,100,68,82.0
Time Out Of Mind,Time Out Of Mind,11,94,22,43.09090909090909
Good Thing,Good Thing,37,100,1,39.16216216216216
Planet Rock,Planet Rock,14,107,48,75.57142857142857
Bizarre Love Triangle,Bizarre Love Triangle,17,100,49,69.82352941176471
Heaven Help Us All,Heaven Help Us All,11,78,9,30.0
Angel,Angel,211,124,1,43.14218009478673
Can You Please Crawl Out Your Window?,Can You Please Crawl Out Your Window?,0,,,
Precious Declaration,Precious Declaration,10,99,65,76.3
Rosealia,Rosealia,0,,,
Get Busy,Get Busy,32,82,1,18.84375
I Wanna Be Your Lover,I Wanna Be Your Lover,16,95,11,38.1875
You Sure Love To Ball,You Sure Love To Ball,6,80,50,58.666666666666664
Mad Season,Mad Season,20,99,48,74.15
Wild Thing,Wild Thing,62,116,1,39.96774193548387
Saturday Night,Saturday Night,58,131,1,44.41379310344828
Stutter,Stutter,36,100,1,34.25
Big Shot,Big Shot,11,94,14,40.63636363636363
This Love,This Love,48,100,5,28.229166666666668
No Myth,No Myth,17,85,13,42.1764705882353
Major Tom,Major Tom,25,108,14,51.0
Sacrifice,Sacrifice,17,87,18,44.470588235294116
Galileo,Galileo,2,100,89,94.5
Spirit In The Sky,Spirit In The Sky,32,122,3,54.53125
Somebody's Crying,Somebody's Crying,20,97,45,64.2
Dreams,Dreams,106,114,1,50.443396226415096
Cold As Ice,Cold As Ice,21,97,6,30.761904761904763
Fopp,Fopp,11,86,30,50.81818181818182
Girls And Boys,Girls And Boys,13,97,48,65.3076923076923
Natural One,Natural One,20,77,29,47.0
Fall Down,Fall Down,18,99,33,60.611111111111114
Cream,Cream,20,67,1,21.95
The Way You Love Me,The Way You Love Me,81,99,6,34.67901234567901
Funky Cold Medina,Funky Cold Medina,18,84,3,34.111111111111114
You Really Got Me,You Really Got Me,26,96,7,44.11538461538461
Stop Being Greedy,Stop Being Greedy,0,,,
Right Now,Right Now,66,123,8,52.54545454545455
What About Now,What About Now,40,94,18,57.725
Dream Police,Dream Police,10,79,26,48.5
Pleasure And Pain,Pleasure And Pain,7,89,76,81.14285714285714
When Somebody Loves You,When Somebody Loves You,22,117,52,78.5
Hit 'Em Up Style,Hit 'Em Up Style,34,83,2,28.735294117647058
Watching You,Watching You,29,108,36,63.93103448275862
Someone Saved My Life Tonight,Someone Saved My Life Tonight,13,84,4,25.692307692307693
Chip Away The Stone,Chip Away The Stone,3,81,77,79.0
Heartbreaker,Heartbreaker,88,122,1,49.21590909090909
Seven Wonders,Seven Wonders,13,96,19,40.69230769230769
Pets,Pets,10,100,67,81.2
Play,Play,40,90,7,37.225
Closer To Fine,Closer To Fine,9,86,52,67.66666666666667
Living In The Past,Living In The Past,14,76,11,31.357142857142858
Listen,Listen,27,114,38,80.07407407407408
Bungle In The Jungle,Bungle In The Jungle,16,82,12,38.9375
I Need To Know,I Need To Know,50,93,3,29.06
Listen To Her Heart,Listen To Her Heart,6,88,59,73.66666666666667
Jet Airliner,Jet Airliner,18,98,8,32.666666666666664
Somebody To Love,Somebody To Love,75,124,5,49.10666666666667
Runnin  Down A Dream,Runnin  Down A Dream,0,,,
Against The Wind,Against The Wind,17,98,5,31.058823529411764
Never Ever,Never Ever,34,100,4,43.588235294117645
Landslide,Landslide,58,98,9,45.37931034482759
No Ordinary Love,No Ordinary Love,27,95,28,63.592592592592595
Night Moves,Night Moves,39,93,4,46.51282051282051
Carnival,Carnival,31,51,10,27.06451612903226
Supernova,Supernova,0,,,
There She Goes,There She Goes,55,98,26,61.8
Honky Cat,Honky Cat,10,63,8,28.7
Me Myself And I,Me Myself And I,17,100,34,61.470588235294116
December,December,39,58,20,32.15384615384615
Up For The Down Stroke,Up For The Down Stroke,9,100,63,82.11111111111111
Orinoco Flow,Orinoco Flow,17,93,24,50.35294117647059
Glaciers Of Ice/Criminology,Glaciers Of Ice/Criminology,0,,,
Armageddon It,Armageddon It,18,94,3,31.5
Danke Schoen,Danke Schoen,0,,,
Heavy,Heavy,20,100,73,87.0
Sara,Sara,42,96,1,38.54761904761905
Scenario,Scenario,15,100,57,74.86666666666666
Peg,Peg,19,87,11,39.36842105263158
Kid Charlemagne,Kid Charlemagne,3,88,82,85.66666666666667
Not Enough,Not Enough,3,100,97,98.0
Smile,Smile,153,120,12,64.359477124183
Straight Out Of Line,Straight Out Of Line,8,97,73,84.375
You Make Me Feel,You Make Me Feel,33,110,19,56.75757575757576
Classical Gas,Classical Gas,15,102,2,30.533333333333335
Point Of Know Return,Point Of Know Return,0,,,
Wild Wild West,Wild Wild West,17,92,1,22.0
One Of These Nights,One Of These Nights,17,78,1,20.0
Peek-A-Boo,Peek-A-Boo,36,125,28,72.33333333333333
New Kid In Town,New Kid In Town,0,,,
Your Smiling Face,Your Smiling Face,17,96,20,48.94117647058823
Opportunities,Opportunities,16,99,10,40.0625
Heaven In Your Eyes,Heaven In Your Eyes,17,99,12,38.529411764705884
I Got You,I Got You,52,99,3,64.48076923076923
Signs,Signs,54,96,3,44.05555555555556
Heartaches,Heartaches,54,133,1,46.72222222222222
Big Love,Big Love,20,100,5,43.5
Fantasy,Fantasy,56,100,1,35.964285714285715
The One,The One,67,100,9,51.3134328358209
Too Much,Too Much,58,99,1,36.206896551724135
Women,Women,7,94,67,83.0
Never Can Say Goodbye,Never Can Say Goodbye,50,110,2,41.82
Video,Video,34,98,47,77.82352941176471
Super Bad,Super Bad,10,63,13,29.2
Breathe,Breathe,156,99,2,50.794871794871796
No Tell Lover,No Tell Lover,15,100,14,40.333333333333336
Border Song,Border Song,18,114,37,80.27777777777777
The Hunter,The Hunter,14,127,85,102.64285714285714
Go See The Doctor,Go See The Doctor,5,99,89,94.6
Just Another Day,Just Another Day,72,99,5,46.30555555555556
Poison,Poison,41,99,3,31.390243902439025
Whoa!,Whoa!,17,97,43,62.94117647058823
Another Star,Another Star,10,74,32,49.9
In My Arms,In My Arms,15,98,7,44.86666666666667
Wonderful,Wonderful,71,101,5,45.7887323943662
The Long Run,The Long Run,15,99,8,28.866666666666667
Killer,Killer,2,100,100,100.0
Love Walks In,Love Walks In,15,91,22,42.666666666666664
Living In Oblivion,Living In Oblivion,10,95,65,74.9
Hold On,Hold On,251,133,1,52.14342629482072
L.A. Woman,L.A. Woman,9,99,52,73.22222222222223
Misunderstanding,Misunderstanding,47,99,14,48.48936170212766
Old Time Rock,Old Time Rock,0,,,
Damaged,Damaged,26,71,10,27.46153846153846
The Mayor Of Simpleton,The Mayor Of Simpleton,6,92,72,81.0
We Danced Anyway,We Danced Anyway,9,98,72,82.77777777777777
Say You ll Be There,Say You ll Be There,0,,,
Hold On To The Nights,Hold On To The Nights,21,91,1,30.571428571428573
Beautiful Girls,Beautiful Girls,26,89,1,34.57692307692308
At Seventeen,At Seventeen,20,87,3,31.7
Where I Come From,Where I Come From,35,98,34,69.77142857142857
Baby Baby,Baby Baby,43,95,1,51.093023255813954
www.memory,www.memory,15,99,45,63.4
Saturday In The Park,Saturday In The Park,12,60,3,22.166666666666668
Shooting Shark,Shooting Shark,3,94,83,87.33333333333333
Universal Soldier,Universal Soldier,14,90,45,60.285714285714285
Just A Gigolo/I Ain t Got Nobody,Just A Gigolo/I Ain t Got Nobody,0,,,
Be With You,Be With You,32,84,1,28.21875
Nappy Heads,Nappy Heads,16,92,49,70.625
Rhythm Divine,Rhythm Divine,17,96,32,59.64705882352941
Cherry Bomb,Cherry Bomb,22,106,8,45.86363636363637
Change,Change,41,100,10,60.53658536585366
Good Vibrations,Good Vibrations,52,124,1,43.71153846153846
Run-Around,Run-Around,49,80,8,28.122448979591837
Candy Girl,Candy Girl,26,103,3,46.42307692307692
Notorious,Notorious,31,98,2,41.54838709677419
Got My Mind Set On You,Got My Mind Set On You,22,99,1,31.0
Until I Find You Again,Until I Find You Again,20,84,42,63.7
Make Me Smile,Make Me Smile,18,105,9,45.388888888888886
Bent,Bent,39,60,1,18.641025641025642
My Name Is Prince,My Name Is Prince,11,97,36,63.90909090909091
World In My Eyes,World In My Eyes,10,94,52,64.2
Everyday Is A Winding Road,Everyday Is A Winding Road,20,67,11,35.6
Tour,Tour,14,100,57,69.78571428571429
Soul To Squeeze,Soul To Squeeze,20,95,22,43.7
Veronica,Veronica,14,98,19,48.142857142857146
Strike It Up,Strike It Up,18,98,8,39.27777777777778
Red Red Wine,Red Red Wine,54,129,1,58.407407407407405
Under The Bridge,Under The Bridge,26,80,2,20.0
Cry,Cry,115,110,1,41.2
My Dearest Darling,My Dearest Darling,13,99,34,57.46153846153846
Velcro Fly,Velcro Fly,12,96,35,54.083333333333336
I Thank You,I Thank You,29,100,9,51.41379310344828
Jackie's Strength,Jackie's Strength,5,95,54,68.8
Passionate Kisses,Passionate Kisses,11,90,57,72.72727272727273
Take This Heart,Take This Heart,20,69,20,36.5
Gypsy,Gypsy,17,97,12,48.470588235294116
Just You 'N' Me,Just You 'N' Me,0,,,
Walking Away,Walking Away,39,100,9,53.205128205128204
U Don't Have To Call,U Don't Have To Call,26,65,3,20.115384615384617
America,America,35,109,8,49.31428571428572
The Way She Loves Me,The Way She Loves Me,19,98,20,45.8421052631579
Lady Marmalade,Lady Marmalade,40,107,1,27.4
Say It Loud - I'm Black And I'm Proud,Say It Loud - I'm Black And I'm Proud,11,60,10,24.09090909090909
"The Good, The Bad And The Ugly","The Good, The Bad And The Ugly",0,,,
One Hit,One Hit,11,98,28,49.36363636363637
Phenomenon,Phenomenon,9,93,55,68.0
Feelin' Stronger Every Day,Feelin' Stronger Every Day,16,75,10,28.8125
Endless Summer Nights,Endless Summer Nights,21,99,2,32.61904761904762
Welcome To Atlanta,Welcome To Atlanta,20,70,35,51.1
Don't Eat The Yellow Snow,Don't Eat The Yellow Snow,5,109,86,95.2
